periodo,tipo_indicador,nombre,valor_promedio,valor_min,valor_max,valor_std
2015-01,financieros,Activos Improductivos / Patrimonio Neto,2.77,2.77,2.77,
2015-01,financieros,Activos Netos Totales / Patrimonio Neto,10.31,10.31,10.31,
2015-01,financieros,Margen de Intermediación Neto,9.64,9.64,9.64,
2015-01,financieros,Spread de Tasas de Interés,11.56117933607355,11.56117933607355,11.56117933607355,
2015-01,morosidad,Morosidad Estresada,2.690510491138622,0.0,10.521597092029591,2.3103915841847193
2015-01,morosidad,Morosidad Simple,1.85,1.85,1.85,
2015-01,principales,ROA,2.0,2.0,2.0,
2015-01,principales,ROE (Rentabilidad del Patrimonio),20.71,20.71,20.71,
2015-01,principales,Índice Solvencia,16.77,16.77,16.77,
2015-02,financieros,Activos Improductivos / Patrimonio Neto,2.74,2.74,2.74,
2015-02,financieros,Activos Netos Totales / Patrimonio Neto,10.17,10.17,10.17,
2015-02,financieros,Margen de Intermediación Neto,9.45,9.45,9.45,
2015-02,financieros,Spread de Tasas de Interés,11.652224556204251,11.652224556204251,11.652224556204251,
2015-02,morosidad,Morosidad Estresada,2.7966284376633483,0.0,11.144315042590069,2.4882348455795023
2015-02,morosidad,Morosidad Simple,1.8,1.8,1.8,
2015-02,principales,ROA,1.94,1.94,1.94,
2015-02,principales,ROE (Rentabilidad del Patrimonio),20.29,20.29,20.29,
2015-02,principales,Índice Solvencia,16.42,16.42,16.42,
2015-03,financieros,Activos Improductivos / Patrimonio Neto,2.7,2.7,2.7,
2015-03,financieros,Activos Netos Totales / Patrimonio Neto,10.54,10.54,10.54,
2015-03,financieros,Margen de Intermediación Neto,9.5,9.5,9.5,
2015-03,financieros,Spread de Tasas de Interés,11.703972046126339,11.703972046126339,11.703972046126339,
2015-03,morosidad,Morosidad Estresada,2.265368056183537,0.0,5.717596174919525,1.4252277807952807
2015-03,morosidad,Morosidad Simple,1.69,1.69,1.69,
2015-03,principales,ROA,1.98,1.98,1.98,
2015-03,principales,ROE (Rentabilidad del Patrimonio),20.64,20.64,20.64,
2015-03,principales,Índice Solvencia,17.05,17.05,17.05,
2015-04,financieros,Activos Improductivos / Patrimonio Neto,2.82,2.82,2.82,
2015-04,financieros,Activos Netos Totales / Patrimonio Neto,10.75,10.75,10.75,
2015-04,financieros,Margen de Intermediación Neto,9.53,9.53,9.53,
2015-04,financieros,Spread de Tasas de Interés,11.779407660370381,11.779407660370381,11.779407660370381,
2015-04,morosidad,Morosidad Estresada,2.039611995588581,0.0,5.096030830770829,1.2570949295125766
2015-04,morosidad,Morosidad Simple,1.71,1.71,1.71,
2015-04,principales,ROA,1.97,1.97,1.97,
2015-04,principales,ROE (Rentabilidad del Patrimonio),20.91,20.91,20.91,
2015-04,principales,Índice Solvencia,17.38,17.38,17.38,
2015-05,financieros,Activos Improductivos / Patrimonio Neto,3.01,3.01,3.01,
2015-05,financieros,Activos Netos Totales / Patrimonio Neto,10.86,10.86,10.86,
2015-05,financieros,Margen de Intermediación Neto,9.66,9.66,9.66,
2015-05,financieros,Spread de Tasas de Interés,12.004061670716736,12.004061670716736,12.004061670716736,
2015-05,morosidad,Morosidad Estresada,2.2158264736262434,0.0,5.592788906998848,1.3743736848420849
2015-05,morosidad,Morosidad Simple,1.83,1.83,1.83,
2015-05,principales,ROA,1.99,1.99,1.99,
2015-05,principales,ROE (Rentabilidad del Patrimonio),21.33,21.33,21.33,
2015-05,principales,Índice Solvencia,16.97,16.97,16.97,
2015-06,financieros,Activos Improductivos / Patrimonio Neto,2.77,2.77,2.77,
2015-06,financieros,Activos Netos Totales / Patrimonio Neto,10.34,10.34,10.34,
2015-06,financieros,Margen de Intermediación Neto,9.73,9.73,9.73,
2015-06,financieros,Spread de Tasas de Interés,11.833708681538122,11.833708681538122,11.833708681538122,
2015-06,morosidad,Morosidad Estresada,4.041961024926532,0.0,13.773357388141916,2.9071212307518057
2015-06,morosidad,Morosidad Simple,1.8,1.8,1.8,
2015-06,principales,ROA,2.0,2.0,2.0,
2015-06,principales,ROE (Rentabilidad del Patrimonio),21.49,21.49,21.49,
2015-06,principales,Índice Solvencia,17.22,17.22,17.22,
2015-07,financieros,Activos Improductivos / Patrimonio Neto,2.66,2.66,2.66,
2015-07,financieros,Activos Netos Totales / Patrimonio Neto,10.17,10.17,10.17,
2015-07,financieros,Margen de Intermediación Neto,9.78,9.78,9.78,
2015-07,financieros,Spread de Tasas de Interés,11.770351345476866,11.770351345476866,11.770351345476866,
2015-07,morosidad,Morosidad Estresada,3.8128327195539415,0.6559486146812781,13.677933901047174,2.916280789089732
2015-07,morosidad,Morosidad Simple,1.82,1.82,1.82,
2015-07,principales,ROA,1.99,1.99,1.99,
2015-07,principales,ROE (Rentabilidad del Patrimonio),21.24,21.24,21.24,
2015-07,principales,Índice Solvencia,17.02,17.02,17.02,
