fecha,entidad,tipo_entidad,tipo_indicador,nombre,valor,fuente_endpoint
2015-01-01,Banco Popular Dominicano,BM,principales,ROA,0.021055,indicadores_principales
2015-01-01,Banco Popular Dominicano,BM,principales,ROE,0.160181,indicadores_principales
2015-01-01,Banco Popular Dominicano,BM,principales,Eficiencia Operacional,0.540286,indicadores_principales
2015-01-01,Banco Popular Dominicano,BM,principales,Liquidez Inmediata,0.20993,indicadores_principales
2015-01-01,Banco Popular Dominicano,BM,principales,Cobertura de Cartera,1.455782,indicadores_principales
2015-01-01,Banco Popular Dominicano,BM,financieros,Margen de Intermediación,0.089798,indicadores_financieros
2015-01-01,Banco Popular Dominicano,BM,financieros,Spread Tasas de Interés,0.066493,indicadores_financieros
2015-01-01,Banco Popular Dominicano,BM,financieros,Activos Improductivos,0.039468,indicadores_financieros
2015-01-01,Banco Popular Dominicano,BM,financieros,Apalancamiento,8.254222,indicadores_financieros
2015-01-01,Banco Popular Dominicano,BM,morosidad,Morosidad Simple,0.06095,indicadores_morosidad
2015-01-01,Banco Popular Dominicano,BM,morosidad,Morosidad Estresada,0.093403,indicadores_morosidad
2015-01-01,Banco Popular Dominicano,BM,morosidad,Índice Riesgo Crédito,0.070865,indicadores_morosidad
2015-01-01,Banco de Reservas,BM,principales,ROA,0.019091,indicadores_principales
2015-01-01,Banco de Reservas,BM,principales,ROE,0.165371,indicadores_principales
2015-01-01,Banco de Reservas,BM,principales,Eficiencia Operacional,0.534668,indicadores_principales
2015-01-01,Banco de Reservas,BM,principales,Liquidez Inmediata,0.25584,indicadores_principales
2015-01-01,Banco de Reservas,BM,principales,Cobertura de Cartera,1.620848,indicadores_principales
2015-01-01,Banco de Reservas,BM,financieros,Margen de Intermediación,0.083416,indicadores_financieros
2015-01-01,Banco de Reservas,BM,financieros,Spread Tasas de Interés,0.074454,indicadores_financieros
2015-01-01,Banco de Reservas,BM,financieros,Activos Improductivos,0.042,indicadores_financieros
2015-01-01,Banco de Reservas,BM,financieros,Apalancamiento,7.927312,indicadores_financieros
2015-01-01,Banco de Reservas,BM,morosidad,Morosidad Simple,0.062985,indicadores_morosidad
2015-01-01,Banco de Reservas,BM,morosidad,Morosidad Estresada,0.093889,indicadores_morosidad
