fecha,entidad,tipo_entidad,componente,valor
2015-01-01,Banco Popular Dominicano,BM,Índice de Solvencia,0.12
2015-01-01,Banco Popular Dominicano,BM,Capital Primario (Tier 1),0.096
2015-01-01,Banco Popular Dominicano,BM,Capital Secundario (Tier 2),0.0273
2015-01-01,Banco Popular Dominicano,BM,Activos Ponderados por Riesgo,136528.04
2015-01-01,Banco Popular Dominicano,BM,Patrimonio Técnico,20377.32
2015-01-01,Banco de Reservas,BM,Índice de Solvencia,0.12
2015-01-01,Banco de Reservas,BM,Capital Primario (Tier 1),0.0943
2015-01-01,Banco de Reservas,BM,Capital Secundario (Tier 2),0.0248
2015-01-01,Banco de Reservas,BM,Activos Ponderados por Riesgo,124656.03
2015-01-01,Banco de Reservas,BM,Patrimonio Técnico,18605.38
2015-01-01,BHD León,BM,Índice de Solvencia,0.12
2015-01-01,BHD León,BM,Capital Primario (Tier 1),0.0956
2015-01-01,BHD León,BM,Capital Secundario (Tier 2),0.0219
2015-01-01,BHD León,BM,Activos Ponderados por Riesgo,89040.02
2015-01-01,BHD León,BM,Patrimonio Técnico,13289.56
2015-01-01,Scotiabank RD,BM,Índice de Solvencia,0.12
2015-01-01,Scotiabank RD,BM,Capital Primario (Tier 1),0.0994
2015-01-01,Scotiabank RD,BM,Capital Secundario (Tier 2),0.0253
2015-01-01,Scotiabank RD,BM,Activos Ponderados por Riesgo,47488.01
2015-01-01,Scotiabank RD,BM,Patrimonio Técnico,7087.76
2015-01-01,Banesco,BM,Índice de Solvencia,0.12
2015-01-01,Banesco,BM,Capital Primario (Tier 1),0.0958
2015-01-01,Banesco,BM,Capital Secundario (Tier 2),0.0243
2015-01-01,Banesco,BM,Activos Ponderados por Riesgo,35616.01
2015-01-01,Banesco,BM,Patrimonio Técnico,5315.82
2015-01-01,Citibank RD,BM,Índice de Solvencia,0.12
2015-01-01,Citibank RD,BM,Capital Primario (Tier 1),0.096
2015-01-01,Citibank RD,BM,Capital Secundario (Tier 2),0.0249
2015-01-01,Citibank RD,BM,Activos Ponderados por Riesgo,23744.01
2015-01-01,Citibank RD,BM,Patrimonio Técnico,3543.88
2015-01-01,Banco Santa Cruz,BM,Índice de Solvencia,0.12
2015-01-01,Banco Santa Cruz,BM,Capital Primario (Tier 1),0.0989
2015-01-01,Banco Santa Cruz,BM,Capital Secundario (Tier 2),0.0227
2015-01-01,Banco Santa Cruz,BM,Activos Ponderados por Riesgo,17808.0
2015-01-01,Banco Santa Cruz,BM,Patrimonio Técnico,2657.91
2015-01-01,Banco López de Haro,BM,Índice de Solvencia,0.12
2015-01-01,Banco López de Haro,BM,Capital Primario (Tier 1),0.0921
2015-01-01,Banco López de Haro,BM,Capital Secundario (Tier 2),0.0221
2015-01-01,Banco López de Haro,BM,Activos Ponderados por Riesgo,17808.0
2015-01-01,Banco López de Haro,BM,Patrimonio Técnico,2657.91
2015-01-01,JMMB Bank,BM,Índice de Solvencia,0.12
2015-01-01,JMMB Bank,BM,Capital Primario (Tier 1),0.0978
2015-01-01,JMMB Bank,BM,Capital Secundario (Tier 2),0.025
2015-01-01,JMMB Bank,BM,Activos Ponderados por Riesgo,17808.0
